,Size,Mobility,Activity,Gregariousness,Position,Diet
Abantennarius_coccineus,2,1,D,1,1,FC
Abantennarius_sanguineus,2,1,D,1,1,FC
Ablennes_hians,6,4,D,4,1,FC
Abudefduf_concolor,3,2,D,3,1,HD
Abudefduf_declivifrons,3,2,D,3,1,HD
Abudefduf_saxatilis,3,2,D,4,1,FC
Abudefduf_taurus,3,2,D,3,1,HD
Abudefduf_troschelii,3,2,D,4,2,Pk
Acanthemblemaria_balanorum,1,1,D,1,1,Pk
Acanthemblemaria_crockeri,1,1,D,1,1,Pk
Acanthemblemaria_macrospilus,1,1,D,1,1,Pk
Acanthemblemaria_sp.,1,1,D,1,1,Pk
Acanthocybium_solandri,6,4,D,3,3,FC
Acanthostracion_notacanthus,4,2,D,1,1,IS
Acanthurus_achilles,3,2,D,3,3,HD
Acanthurus_bahianus,4,3,D,3,3,HD
Acanthurus_chirurgus,4,3,D,3,3,HD
Acanthurus_coeruleus,4,3,D,3,3,HD
Acanthurus_glaucopareius,4,3,D,1,2,HD
Acanthurus_nigricans,4,1,D,3,2,HD
Acanthurus_sp.,4,3,D,3,2,HD
Acanthurus_triostegus,3,4,D,4,1,HD
Acanthurus_xanthopterus,5,3,D,3,1,HD
Achirus_mazatlanus,3,3,D,1,1,FC
Achirus_scutum,3,3,D,1,1,IM
Albula_argentea,5,2,D,1,1,IM
Albula_esuncula,4,4,D,3,1,IM
Albula_gilberti,3,2,D,1,2,IM
Albula_nemoptera,5,3,D,1,1,IM
Albula_pacifica,5,3,D,1,1,IM
Albula_sp.,5,4,D,1,2,IM
Albula_vulpes,6,2,D,3,1,IM
Alectis_ciliaris,6,4,D,3,3,FC
Alloclinus_holderi,2,1,D,1,1,IM
Alphestes_afer,4,1,N,1,1,IM
Alphestes_immaculatus,3,1,N,1,1,IM
Alphestes_multiguttatus,3,1,N,1,1,IM
Aluterus_monoceros,5,4,D,2,2,HD
Aluterus_scriptus,6,4,D,1,2,OM
Ammodytoides_gilli,2,2,D,1,1,IM
Amphiatichus_koelzi,4,2,D,1,3,IM
Amphistichus_argenteus,4,3,D,3,2,IM
Amphistichus_rhodoterus,4,3,D,1,3,IM
Anarchias_galapagensis,3,1,N,1,1,IM
Anarrhichthys_ocellatus,6,1,D,1,1,FC
Anchoa_argentivittata,2,2,D,3,3,Pk
Anchoa_compressa,2,2,D,3,3,Pk
Anchoa_curta,2,2,D,1,3,Pk
Anchoa_delicatissima,2,2,D,3,2,Pk
Anchoa_exigua,1,2,D,3,3,Pk
Anchoa_helleri,2,2,D,4,3,Pk
Anchoa_ischana,3,2,D,3,3,Pk
Anchoa_lucida,2,2,D,3,3,Pk
Anchoa_mundeoloides,2,2,D,3,3,Pk
Anchoa_nasus,3,2,D,3,3,Pk
Anchoa_scofieldi,1,2,D,1,3,Pk
Anchoa_sp.,2,2,D,3,3,Pk
Anchoa_walkeri,2,2,D,3,3,Pk
Anchovia_macrolepidota,3,2,D,4,3,Pk
Ancylopsetta_dendritica,4,2,D,1,1,FC
Anisotremus_caesius,3,3,N,3,3,IM
Anisotremus_davidsonii,5,4,N,4,2,IM
Anisotremus_interruptus,5,4,N,3,2,IM
Anisotremus_sp.,5,4,N,3,2,IM
Anisotremus_surinamensis,5,3,N,3,1,IM
Anisotremus_taeniatus,4,3,N,3,2,FC
Anisotremus_virginicus,4,3,N,3,1,IM
Anoplogaster_cornuta,3,2,D,3,2,FC
Antennarius_commerson,4,1,N,1,1,FC
Antennatus_strigatus,2,1,D,1,1,FC
Antennatus_tuberosus,2,2,D,1,1,FC
Antimora_microlepis,5,4,D,1,2,IM
Apodichthys_fucorum,3,1,D,1,1,IM
Apogon_atradorsatus,2,1,N,3,2,IM
Apogon_atricaudus,2,1,N,3,2,IM
Apogon_dovii,2,1,N,3,2,IM
Apogon_guadalupensis,2,1,N,3,1,FC
Apogon_pacificus,2,1,N,3,2,Pk
Apogon_retrosella,2,1,N,3,2,Pk
Apogon_sp.,2,1,N,3,2,Pk
Apterichtus_equatorialis,4,2,N,1,1,IM
Argentina_sialis,3,2,D,1,2,Pk
Argyropelecus_affinis,2,2,D,1,2,IM
Argyropelecus_hemigymnus,1,2,N,1,2,FC
Argyropelecus_lychnus,1,2,D,1,2,IM
Argyropelecus_sladeni,2,2,D,1,2,IM
Ariopsis_guatemalensis,5,3,D,1,1,FC
Ariopsis_seemanni,4,4,D,1,1,FC
Ariosoma_gilberti,3,1,N,1,1,IM
Aristostomias_scintillans,3,2,D,1,2,IM
Arothron_hispidus,4,2,D,1,2,IS
Arothron_meleagris,4,2,D,1,2,IS
Arothron_setosus,4,2,D,1,2,IS
Artedius_corallinus,2,1,D,1,1,IM
Artedius_notospilotus,3,1,D,1,1,FC
Aruma_histrio,1,1,D,1,1,IM
Aseraggodes_herrei,2,2,D,1,1,FC
Astroscopus_zephyreus,4,3,D,1,1,FC
Atherinella_balsana,2,3,D,1,2,Pk
Atherinella_eriarcha,2,4,D,3,3,Pk
Atherinella_nepenthe,2,4,D,1,3,Pk
Atherinops_affinis,4,2,D,3,3,Pk
Atherinops_sp.,4,2,D,3,3,Pk
Atherinopsis_californiensis,4,2,D,3,3,HD
Atherinopsis_sp.,4,2,D,3,3,HD
Atractoscion_nobilis,6,4,N,4,1,FC
Aulopus_bajacali,3,2,D,1,1,FC
Aulorhynchus_flavidus,3,2,D,4,2,Pk
Aulostomus_chinensis,5,2,D,1,2,FC
Aulostomus_maculatus,6,2,D,3,1,FC
Auxis_brachydorax,4,4,D,1,3,FC
Auxis_rochei,4,4,D,3,3,FC
Auxis_thazard,5,4,D,1,3,FC
Avocettina_infans,5,1,D,1,2,IM
Axoclinus_sp.,1,1,D,1,1,OM
Axoclinus_storeyae,1,2,D,1,1,OM
Azurina_atrilobata,2,2,D,3,2,Pk
Azurina_cyanea,2,2,D,3,2,Pk
Azurina_hirundo,2,1,D,3,2,Pk
Azurina_multilineata,3,2,D,4,2,Pk
Bagre_panamensis,5,4,D,1,1,FC
Bagre_pinnimaculatus,6,4,D,1,1,FC
Bairdiella_armata,3,3,D,1,2,IM
Bairdiella_icistia,3,3,D,1,1,FC
Balistes_polylepis,5,3,D,1,1,IM
Balistes_vetula,5,3,D,1,1,IM
Barbulifer_mexicanus,1,1,D,1,1,IM
Barbulifer_pantherinus,1,1,D,1,1,IM
Bascanichthys_bascanoides,5,2,D,1,1,IM
Bascanichthys_panamensis,5,2,D,1,1,IM
Bathygobius_lineatus,2,1,D,1,1,IM
Bathygobius_ramosus,3,1,D,1,1,IM
Bathygobius_soporator,2,1,D,1,1,IM
Bathylagus_pacificus,3,1,D,1,2,IM
Bathylychnops_exilis,5,4,D,1,2,Pk
Batrachoides_pacifici,4,1,D,1,1,IM
Bellator_gymnostethus,2,3,D,1,1,Pk
Bellator_loxias,2,3,D,1,1,FC
Bellator_xenisma,2,3,D,1,1,FC
Benthosema_panamense,1,2,N,4,3,Pk
Bodianus_diplotaenia,5,3,D,1,1,IM
Bodianus_pulcher,6,4,D,1,1,IM
Bodianus_rufus,4,3,D,1,1,IM
Bolinichthys_longipes,1,1,N,1,2,Pk
Bolinichthys_pyrsobolus,2,2,N,1,3,Pk
Bollmannia_macropoma,2,1,D,1,1,IM
Bollmannia_ocellata,2,1,D,1,1,IM
Borostomias_panamensis,3,1,D,1,3,Pk
Bothus_constellatus,3,1,D,1,1,FC
Bothus_leopardinus,3,2,D,1,1,FC
Bothus_lunatus,4,1,D,1,1,FC
Bothus_mancus,5,2,N,1,1,FC
Brachygenys_californiensis,3,3,N,4,2,Pk
Brachygenys_chrysargyreum,3,3,N,3,1,Pk
Brachyistius_aletes,3,2,D,1,1,IM
Brachyistius_frenatus,3,2,D,4,1,IM
Brama_japonica,5,4,D,1,3,FC
Bregmaceros_bathymaster,2,2,D,1,3,Pk
Bregmaceros_mcclellandi,2,3,D,1,3,Pk
Brockius_striatus,1,1,D,1,1,IM
Brosmophycis_marginata,4,1,N,1,1,IM
Brotula_clarkae,6,2,N,1,2,IM
Brotula_ordwayi,5,2,N,1,2,IM
Bryx_veleronis,1,1,D,1,2,Pk
Calamus_brachysomus,5,3,D,3,1,IM
Calamus_penna,4,3,D,3,1,IM
Calamus_pennatula,4,3,D,3,1,IM
Calamus_taurinus,4,3,D,3,2,IM
Callechelys_cliffi,4,2,N,1,1,IM
Callechelys_eristigma,6,2,N,1,1,IM
Calotomus_carolinus,5,3,D,1,2,HD
Calotomus_spinidens,3,3,D,1,2,HD
Cantherhines_dumerilii,4,3,D,2,2,OM
