Species,Size,Mobility,Activity,Gregariousness,Position,Diet
Abantennarius_coccineus,2,1,D,1,1,FC
Abantennarius_sanguineus,2,1,D,1,1,FC
Ablennes_hians,6,4,D,4,1,FC
Abudefduf_concolor,3,2,D,3,1,HD
Abudefduf_declivifrons,3,2,D,3,1,HD
Abudefduf_saxatilis,3,2,D,4,1,FC
Abudefduf_taurus,3,2,D,3,1,HD
Abudefduf_troschelii,3,2,D,4,2,Pk
Acanthemblemaria_balanorum,1,1,D,1,1,Pk
Acanthemblemaria_crockeri,1,1,D,1,1,Pk
Acanthemblemaria_macrospilus,1,1,D,1,1,Pk
Acanthocybium_solandri,6,4,D,3,3,FC
Acanthostracion_notacanthus,4,2,D,1,1,IS
Acanthurus_achilles,3,2,D,3,3,HD
Acanthurus_bahianus,4,3,D,3,3,HD
Acanthurus_chirurgus,4,3,D,3,3,HD
Acanthurus_coeruleus,4,3,D,3,3,HD
Acanthurus_glaucopareius,4,3,D,1,2,HD
Acanthurus_nigricans,4,1,D,3,2,HD
Acanthurus_triostegus,3,4,D,4,1,HD
Acanthurus_xanthopterus,5,3,D,3,1,HD
Achirus_mazatlanus,3,3,D,1,1,FC
Achirus_scutum,3,3,D,1,1,IM
Albula_argentea,5,2,D,1,1,IM
Albula_esuncula,4,4,D,3,1,IM
Albula_gilberti,3,2,D,1,2,IM
Albula_nemoptera,5,3,D,1,1,IM
Albula_pacifica,5,3,D,1,1,IM
Albula_vulpes,6,2,D,3,1,IM
Alectis_ciliaris,6,4,D,3,3,FC
Alloclinus_holderi,2,1,D,1,1,IM
Alphestes_afer,4,1,N,1,1,IM
Alphestes_immaculatus,3,1,N,1,1,IM
Alphestes_multiguttatus,3,1,N,1,1,IM
Aluterus_monoceros,5,4,D,2,2,HD
Aluterus_scriptus,6,4,D,1,2,OM
Ammodytoides_gilli,2,2,D,1,1,IM
Amphiatichus_koelzi,4,2,D,1,3,Pk
Amphistichus_argenteus,4,3,D,3,2,Pk
Amphistichus_rhodoterus,4,3,D,1,3,Pk
Anarrhichthys_ocellatus,6,1,D,1,1,Pk
Anchoa_argentivittata,2,2,D,3,3,Pk
Anchoa_compressa,2,2,D,3,3,Pk
Anchoa_curta,2,2,D,1,3,Pk
Anchoa_delicatissima,2,2,D,3,2,Pk
Anchoa_exigua,1,2,D,3,3,Pk
Anchoa_helleri,2,2,D,4,3,Pk
Anchoa_ischana,3,2,D,3,3,FC
Anchoa_lucida,2,2,D,3,3,IM
Anchoa_mundeoloides,2,2,D,3,3,IM
Anchoa_nasus,3,2,D,3,3,IM
Anchoa_scofieldi,1,2,D,1,3,IM
Anchoa_walkeri,2,2,D,3,3,FC
Anchovia_macrolepidota,3,2,D,4,3,IM
Ancylopsetta_dendritica,4,2,D,1,1,FC
Anisotremus_caesius,3,3,N,3,3,FC
Anisotremus_davidsonii,5,4,N,4,2,FC
Anisotremus_interruptus,5,4,N,3,2,IM
Anisotremus_surinamensis,5,3,N,3,1,IM
Anisotremus_taeniatus,4,3,N,3,2,IM
Anisotremus_virginicus,4,3,N,3,1,FC
Anoplogaster_cornuta,3,2,D,3,2,Pk
Antennarius_commerson,4,1,N,1,1,Pk
Antennatus_strigatus,2,1,D,1,1,Pk
Antennatus_tuberosus,2,2,D,1,1,IM
Apodichthys_fucorum,3,1,D,1,1,FC
Apogon_atradorsatus,2,1,N,3,2,IM
Apogon_atricaudus,2,1,N,3,2,IS
Apogon_dovii,2,1,N,3,2,IS
Apogon_guadalupensis,2,1,N,3,1,IS
Apogon_pacificus,2,1,N,3,2,IM
Apogon_retrosella,2,1,N,3,2,FC
Argentina_sialis,3,2,D,1,2,FC
Argyropelecus_affinis,2,2,D,1,2,Pk
Argyropelecus_hemigymnus,1,2,N,1,2,Pk
Argyropelecus_sladeni,2,2,D,1,2,Pk
Ariopsis_guatemalensis,5,3,D,1,1,HD
Ariopsis_seemanni,4,4,D,1,1,FC
Aristostomias_scintillans,3,2,D,1,2,Pk
Arothron_hispidus,4,2,D,1,2,FC
Arothron_meleagris,4,2,D,1,2,FC
Arothron_setosus,4,2,D,1,2,FC
Artedius_corallinus,2,1,D,1,1,FC
Artedius_notospilotus,3,1,D,1,1,FC
Aruma_histrio,1,1,D,1,1,IM
Aseraggodes_herrei,2,2,D,1,1,IM
Astroscopus_zephyreus,4,3,D,1,1,Pk
Atherinella_balsana,2,3,D,1,2,Pk
Atherinella_eriarcha,2,4,D,3,3,Pk
Atherinella_nepenthe,2,4,D,1,3,Pk
Atherinops_affinis,4,2,D,3,3,FC
Atherinopsis_californiensis,4,2,D,3,3,IM
Atractoscion_nobilis,6,4,N,4,1,IM
Aulorhynchus_flavidus,3,2,D,4,2,IM
Aulostomus_chinensis,5,2,D,1,2,IM
Aulostomus_maculatus,6,2,D,3,1,FC
Auxis_brachydorax,4,4,D,1,3,FC
Auxis_rochei,4,4,D,3,3,IM
Auxis_thazard,5,4,D,1,3,IM
Axoclinus_storeyae,1,2,D,1,1,FC
Azurina_atrilobata,2,2,D,3,2,FC
Azurina_cyanea,2,2,D,3,2,Pk
Azurina_hirundo,2,1,D,3,2,IM
Azurina_multilineata,3,2,D,4,2,IM
Bagre_panamensis,5,4,D,1,1,Pk
Bagre_pinnimaculatus,6,4,D,1,1,IM
Bairdiella_armata,3,3,D,1,2,IM
Bairdiella_icistia,3,3,D,1,1,FC
Balistes_polylepis,5,3,D,1,1,FC
Balistes_vetula,5,3,D,1,1,FC
Barbulifer_mexicanus,1,1,D,1,1,FC
Barbulifer_pantherinus,1,1,D,1,1,Pk
Bathygobius_lineatus,2,1,D,1,1,IM
Bathygobius_ramosus,3,1,D,1,1,Pk
Bathygobius_soporator,2,1,D,1,1,Pk
Batrachoides_pacifici,4,1,D,1,1,IM
Bellator_gymnostethus,2,3,D,1,1,IM
Bellator_loxias,2,3,D,1,1,Pk
Bellator_xenisma,2,3,D,1,1,IM
Benthosema_panamense,1,2,N,4,3,IM
Bodianus_diplotaenia,5,3,D,1,1,IM
Bodianus_pulcher,6,4,D,1,1,IM
Bodianus_rufus,4,3,D,1,1,IM
Bolinichthys_pyrsobolus,2,2,N,1,3,HD
Bollmannia_ocellata,2,1,D,1,1,OM
Bothus_constellatus,3,1,D,1,1,Pk
Bothus_leopardinus,3,2,D,1,1,OM
Bothus_lunatus,4,1,D,1,1,IS
Bothus_mancus,5,2,N,1,1,OM
Brachygenys_californiensis,3,3,N,4,2,FC
Brachygenys_chrysargyreum,3,3,N,3,1,FC
Brachyistius_aletes,3,2,D,1,1,FC
Brachyistius_frenatus,3,2,D,4,1,FC
Bregmaceros_mcclellandi,2,3,D,1,3,FC
Brockius_striatus,1,1,D,1,1,FC
Brosmophycis_marginata,4,1,N,1,1,FC
Brotula_clarkae,6,2,N,1,2,FC
Brotula_ordwayi,5,2,N,1,2,FC
Bryx_veleronis,1,1,D,1,2,FC
Calamus_brachysomus,5,3,D,3,1,FC
Calamus_penna,4,3,D,3,1,FC
Calamus_pennatula,4,3,D,3,1,FC
Calamus_taurinus,4,3,D,3,2,FC
Calotomus_carolinus,5,3,D,1,2,IM
Calotomus_spinidens,3,3,D,1,2,IM
Cantherhines_dumerilii,4,3,D,2,2,IM
Cantherhines_sandwichiensis,3,3,D,2,2,IM
Canthidermis_maculata,4,3,D,4,2,HD
Canthigaster_jamestyleri,2,1,D,1,1,FC
Canthigaster_punctatissima,2,1,D,2,1,FC
Canthigaster_rostrata,2,1,D,3,1,FC
Carangoides_ferdau,5,4,D,3,3,FC
Carangoides_orthogrammus,5,4,D,3,3,FC
Carangoides_otrynter,5,4,D,1,2,IM
Caranx_bartholomaei,6,4,D,1,2,FC
Caranx_caballus,5,4,D,3,2,FC
Caranx_caninus,6,4,D,4,2,FC
Caranx_crysos,5,4,D,4,2,IS
Caranx_hippos,6,4,D,4,3,HD
Caranx_latus,6,4,D,4,3,IM
Caranx_lugubris,6,4,N,4,2,IM
Caranx_melampygus,6,4,D,3,2,IM
Caranx_orthogrammus,5,4,D,3,2,IS
Caranx_otrynter,5,4,D,1,2,OM
Caranx_rhonchus,5,4,D,4,2,IS
Caranx_ruber,5,4,D,4,2,IS
Caranx_sexfasciatus,6,4,N,4,2,IS
Caranx_vinctus,4,4,D,4,3,FC
Carapus_dubius,2,1,N,1,1,OM
Cathorops_dasycephalus,4,4,D,1,1,Pk
Caulolatilus_affinis,4,3,D,1,1,Pk
Caulolatilus_hubbsi,4,3,D,1,1,Pk
Caulolatilus_princeps,6,3,D,1,1,Pk
